Loading design...
Design: SKY130 Voltage-Controlled Ring Oscillator
Parameters: 6
Specs: 5

DE: 6 params, pop=30, patience=30, workers=4
[DE] iter  179 | best: -7.354329e+00 | no_improve:   9 | div: 0.0018 | dt: 29.334s
s
[DE] iter  180 | best: -7.381423e+00 | no_improve:   7 | div: 0.0053 | dt: 89.308s
[DE] iter  181 | best: -7.381423e+00 | no_improve:   8 | div: 0.0051 | dt: 25.804s
[DE] iter  182 | best: -7.381423e+00 | no_improve:   9 | div: 0.0051 | dt: 24.487s
[DE] iter  183 | best: -7.381423e+00 | no_improve:  10 | div: 0.0051 | dt: 26.660s
[DE] iter  184 | best: -7.381423e+00 | no_improve:  11 | div: 0.0052 | dt: 27.086s
[DE] iter  185 | best: -7.381423e+00 | no_improve:  12 | div: 0.0052 | dt: 27.176s
[DE] iter  186 | best: -7.381423e+00 | no_improve:  13 | div: 0.0051 | dt: 26.328s
[DE] iter  187 | best: -7.381423e+00 | no_improve:  14 | div: 0.0052 | dt: 29.139s
[DE] iter  188 | best: -7.381423e+00 | no_improve:  15 | div: 0.0051 | dt: 28.442s
[DE] iter  189 | best: -7.381423e+00 | no_improve:  16 | div: 0.0050 | dt: 25.966s
[DE] iter  190 | best: -7.381423e+00 | no_improve:  17 | div: 0.0050 | dt: 26.853s
[DE] iter  191 | best: -7.381423e+00 | no_improve:  18 | div: 0.0050 | dt: 25.817s
[DE] iter  192 | best: -7.381423e+00 | no_improve:  19 | div: 0.0049 | dt: 27.274s
[DE] iter  193 | best: -7.381423e+00 | no_improve:  20 | div: 0.0050 | dt: 30.339s
[DE] iter  194 | best: -7.381423e+00 | no_improve:  21 | div: 0.0046 | dt: 24.437s
[DE] iter  195 | best: -7.381423e+00 | no_improve:  22 | div: 0.0045 | dt: 34.197s
[DE] iter  196 | best: -7.381423e+00 | no_improve:  23 | div: 0.0045 | dt: 26.262s
[DE] iter  197 | best: -7.381423e+00 | no_improve:  24 | div: 0.0046 | dt: 90.058s
[DE] iter  198 | best: -7.381423e+00 | no_improve:  25 | div: 0.0046 | dt: 88.163s
[DE] iter  199 | best: -7.381423e+00 | no_improve:  26 | div: 0.0047 | dt: 27.192s
[DE] iter  200 | best: -7.381933e+00 | no_improve:   0 | div: 0.0047 | dt: 26.431s
[DE] iter  201 | best: -7.381933e+00 | no_improve:   1 | div: 0.0047 | dt: 29.340s
[DE] iter  202 | best: -7.381933e+00 | no_improve:   2 | div: 0.0047 | dt: 28.328s
[DE] iter  203 | best: -7.381933e+00 | no_improve:   3 | div: 0.0047 | dt: 27.140s
[DE] iter  204 | best: -7.381933e+00 | no_improve:   4 | div: 0.0045 | dt: 27.134s
[DE] iter  205 | best: -7.381933e+00 | no_improve:   5 | div: 0.0045 | dt: 27.187s
[DE] iter  206 | best: -7.381933e+00 | no_improve:   6 | div: 0.0045 | dt: 27.083s
[DE] iter  207 | best: -7.381933e+00 | no_improve:   7 | div: 0.0045 | dt: 25.961s
[DE] iter  208 | best: -7.381933e+00 | no_improve:   8 | div: 0.0045 | dt: 25.838s
[DE] iter  209 | best: -7.381933e+00 | no_improve:   9 | div: 0.0045 | dt: 27.205s
[DE] iter  210 | best: -7.381933e+00 | no_improve:  10 | div: 0.0046 | dt: 27.216s
